MGI symbol	NCBI gene ID	Gene Synonym
mt-Tf		tRNA
mt-Tf		tRNA-Phe
mt-Tf		TrnF tRNA
mt-Rnr1		12S ribosomal RNA
mt-Rnr1		12S rRNA
mt-Rnr1		12SrRNA
mt-Rnr1		Rnr1 s-rRNA
mt-Tv		tRNA
mt-Tv		tRNA-Val
mt-Tv		TrnaV tRNA
mt-Rnr2		16S ribosomal RNA
mt-Rnr2		16S rRNA
mt-Rnr2		16SrRNA
mt-Rnr2		Rnr2 16S ribosomal RNA
mt-Tl1		tRNA
mt-Tl1		tRNA Leu
mt-Tl1		tRNA Leu_1
mt-Tl1		TrnrL1 tRNA
mt-Nd1	17716	0610040O15Rik
mt-Nd1	17716	ND1
mt-Nd1	17716	protein 1
mt-Nd1	17716	URF1
mt-Ti		tRNA
mt-Ti		tRNA-Ile
mt-Ti		TrnI tRNA
mt-Tq		tRNA
mt-Tq		tRNA-Gln
mt-Tq		TrnQ tRNA
mt-Tm		tRNA
mt-Tm		tRNA-Met
mt-Tm		TrnM tRNA
mt-Nd2	17717	URF2
mt-Tw		tRNA
mt-Tw		tRNA-Trp
mt-Tw		TrnW tRNA
mt-Ta		tRNA
mt-Ta		TrnA tRNA
mt-Ta		tRNA-Ala
mt-Tn		tRNA
mt-Tn		tRNA-Asn
mt-Tn		TrnN tRNA
mt-Tc		tRNA
mt-Tc		tRNA-Cys
mt-Tc		TrnC tRNA
mt-Ty		tRNA
mt-Ty		tRNA-Tyr
mt-Ty		TrnY tRNA
mt-Co1	17708	CCOI
mt-Co1	17708	COI
mt-Co1	17708	COX 1
mt-Co1	17708	COX1
mt-Co1	17708	CoxI
mt-Co1	17708	mt-Co1-201
mt-Ts1		tRNA
mt-Ts1		tRNA-Ser
mt-Ts1		tRNA-Ser_1
mt-Ts1		TrnS1 tRNA
mt-Td		tRNA
mt-Td		tRNA-Asp
mt-Td		TrnD tRNA
mt-Co2	17709	COXII
mt-Tk		tRNA
mt-Tk		tRNA-Lys
mt-Tk		TrnK tRNA
mt-Atp8	17706	URFA6L
mt-Atp6	17705	ATPASE6
mt-Co3	17710	COIII
mt-Co3	17710	COX3
mt-Tg		tRNA
mt-Tg		tRNA-Gly
mt-Tg		TrnG tRNA
mt-Nd3	17718	URF3
mt-Tr		tRNA
mt-Tr		tRNA-Arg
mt-Tr		TrnR tRNA
mt-Nd4l	17720	ENSMUSG00000065947
mt-Nd4l	17720	URF4L
mt-Nd4	17719	URF4
mt-Th		tRNA
mt-Th		tRNA-His
mt-Th		TrnH tRNA
mt-Ts2		tRNA
mt-Ts2		tRNA-Ser
mt-Ts2		tRNA-Ser_2
mt-Ts2		TrnS2 tRNA
mt-Tl2		tRNA
mt-Tl2		tRNA-Leu
mt-Tl2		tRNA_Leu_2
mt-Tl2		TrnL2 tRNA
mt-Nd5	17721	0610010I05Rik
mt-Nd5	17721	URF5
mt-Nd6	17722	ENSMUSG00000064368
